user_id,user_avg_amount_30d,user_std_amount_30d,user_tx_count_30d,last_tx_time,last_device,last_receivers
u_0,4821.311363636363,2878.057757542475,66,2024-06-24 14:06:32,dev_183,"[""Anahita Atwal"", ""Priyansh Dua"", ""Samiha Gola"", ""Bhavin Tella"", ""Indrans Kashyap""]"
u_1,5450.915441176469,3023.8909424342046,68,2024-06-24 23:19:00,dev_181,"[""Nakul Kulkarni"", ""Jivin Sridhar"", ""Dhanuk Bhandari"", ""Eva Wali"", ""Neelofar Loke""]"
u_2,5411.945466666666,2827.7925598998804,75,2024-06-24 02:39:25,dev_156,"[""Shamik Contractor"", ""Jayan Viswanathan"", ""Mishti Khosla"", ""Eva Chander"", ""Manjari Lal""]"
u_3,5061.115454545454,2869.043919700392,66,2024-06-24 23:39:03,dev_120,"[""Bhavin Sama"", ""Nitya Arora"", ""Raghav Chacko"", ""Nirvi Varughese"", ""Hridaan Srinivasan""]"
u_4,5167.431857142857,2985.289061499421,70,2024-06-24 23:12:20,dev_167,"[""Dhanush Tailor"", ""Priyansh Badami"", ""Ehsaan Baria"", ""Raunak Garde"", ""Jivika Chaudhary""]"
u_5,5086.1111594202885,2819.615074954452,69,2024-06-25 00:18:04,dev_149,"[""Anaya Bava"", ""Aradhya Dewan"", ""Advik Mahal"", ""Anahi Dube"", ""Anya Rege""]"
u_6,4779.318888888888,2761.1301253457264,72,2024-06-24 05:08:27,dev_336,"[""Gokul Sinha"", ""Heer Hayer"", ""Drishya Karan"", ""Ishaan Bava"", ""Heer Kuruvilla""]"
u_7,5104.5535616438365,2789.0827875891437,73,2024-06-24 17:01:54,dev_190,"[""Ivana Mane"", ""Ivan Arora"", ""Dharmajan Kunda"", ""Mamooty Bakshi"", ""Arhaan Rout""]"
u_8,5184.500422535211,2894.8554413670945,71,2024-06-24 21:06:26,dev_106,"[""Mamooty Agarwal"", ""Prerak Taneja"", ""Kismat Cheema"", ""Damini Chaudhari"", ""Raghav Barad""]"
u_9,4656.564857142856,2741.184976971833,70,2024-06-24 13:04:18,dev_169,"[""Armaan Lal"", ""Divit Shankar"", ""Divyansh Sastry"", ""Anaya Ram"", ""Aaryahi Guha""]"
